,Job Title,Company,Location,Salary,Requirements,Years of Experience,Tags,Link
0,Data Science- supply chain optimization,EY Global Delivery Services India Llp,"Hybrid - Gurgaon/Gurugram, Bangalore/Bengaluru",Not disclosed,Manager Data Science for Supply Chain OptimizationData and Analytics team is a multi-di...,8-12 Yrs,"Inventory Optimization, Simulation, Supply Chain Optimization, machine learning, IT Skills, Python, Software Development, Data Science",https://www.naukri.com/job-listings-data-science-supply-chain-optimization-ey-global-delivery-services-india-llp-gurgaon-gurugram-bangalore-bengaluru-8-to-12-years-101122006942
1,Principal Engineer Data Science II AI models II Machine Learning,People Resources    ,Bangalore/Bengaluru,"30,00,000 - 45,00,000 PA.",8+ Years experience in developing AI modelsStrong knowledge in Machine Learning & Deep ...,8-13 Yrs,"Data Processing, Machine Learning, SAS, Scala, Python, Java, Hadoop, ETL",https://www.naukri.com/job-listings-principal-engineer-data-science-ii-ai-models-ii-machine-learning-people-resources-bangalore-bengaluru-8-to-13-years-161122609669
2,Data Science Lead,Koch Industries,Bangalore/Bengaluru,Not disclosed,Georgia Pacific LLC is looking for a Data Science Leader to join our Decision Analytics...,15-19 Yrs,"Data Science, IT Skills, Python, Machine Learning, Artificial Intelligence, AWS, advanced analytics, Data analysis",https://www.naukri.com/job-listings-data-science-lead-koch-business-solutions-india-private-limited-bangalore-bengaluru-15-to-19-years-031122914191
3,Lead Instructor - Data Science,Scaler Academy,Bangalore/Bengaluru,Not disclosed,Create and execute a road map for launching Scaler Data Science course. Help in designi...,1-6 Yrs,"Power house, Health insurance, B2C, data science, Machine learning, Instructor, Process excellence, Product sales",https://www.naukri.com/job-listings-lead-instructor-data-science-scaler-academy-bangalore-bengaluru-1-to-6-years-151122501042
4,Senior Analyst & AI Lead - Data Science,Huquo Consulting Pvt. Ltd,"Faridabad, Gurgaon/Gurugram, Delhi / NCR",Not disclosed,in Computer scienceInformation Technology ECE or other quantitative disciplines from ti...,2-7 Yrs,"Data Science, R, NLP, Artificial Intelligence, Data Scientist, Machine Learning, Cloud Infrastructure, Deep Learning",https://www.naukri.com/job-listings-senior-analyst-ai-lead-data-science-huquo-consulting-pvt-ltd-faridabad-gurgaon-gurugram-delhi-ncr-2-to-7-years-141122904743
5,Senior Analyst & AI Lead - Data Science,Huquo Consulting Pvt. Ltd,"Faridabad, Gurgaon/Gurugram",Not disclosed,in Computer scienceInformation Technology ECE or other quantitative disciplines from ti...,2-7 Yrs,"Data Science, R, Artificial Intelligence, Machine Learning, Deep Learning, IT Skills, Python, Testing",https://www.naukri.com/job-listings-senior-analyst-ai-lead-data-science-huquo-consulting-pvt-ltd-faridabad-gurgaon-gurugram-2-to-7-years-141122909271
6,"Analyst, Data Science",Johnson & Johnson,Bangalore/Bengaluru,Not disclosed,Bachelor of Science or Bachelor of Engineering at a minimumProficiency in statistical c...,2-4 Yrs,"Data Science, python, Azure, procurement planning, AI, machine learning, sql, deep learning",https://www.naukri.com/job-listings-analyst-data-science-johnson-johnson-private-limited-bangalore-bengaluru-2-to-4-years-311022915040
7,Consultant/Senior Manager - Analytics/Data Science - IT,Huquo Consulting Pvt. Ltd,"Gurgaon/Gurugram, Bangalore/Bengaluru",Not disclosed,"- Collaborate with client stakeholders to understand and frame business requests, deter...",2-7 Yrs,"Data Science, SAS, Data Visualization, Data Analytics, Analytics, Python, SpaCity, analytical",https://www.naukri.com/job-listings-consultant-senior-manager-analytics-data-science-it-huquo-consulting-pvt-ltd-gurgaon-gurugram-bangalore-bengaluru-2-to-7-years-141122908796
8,Senior Analyst (Data Science),Cigna TTK,Bangalore/Bengaluru,Not disclosed,Knowledge and experience in supervised and unsupervised machine learning algorithmsExpe...,5-10 Yrs,"Cloud computing, Data analysis, NoSQL, Business analytics, Analytical, Machine learning, SAGE, Data mining",https://www.naukri.com/job-listings-senior-analyst-data-science-cigna-ttk-health-insurance-company-limited-bangalore-bengaluru-5-to-10-years-220722500993
9,"Manager , Data Science",Visa,Mumbai,Not disclosed,"Bachelors degree in Economics, Finance, Computer Science, Statistics, or related quanti...",5-10 Yrs,"Impala, Python, Hive, Hadoop, IT Skills, Quality Assurance, Machine Learning, Cloud",https://www.naukri.com/job-listings-manager-data-science-visa-inc-mumbai-5-to-10-years-031122501296
10,Business Analyst - Data Science,PayU,Bangalore/Bengaluru,Not disclosed,"A degree in Statistics, Computer Science, Mathematics or other similar quantitative fie...",4-9 Yrs,"Computer science, Wealth management, Lead Business Analyst, Machine learning, Manager Technology, Stakeholder management, Financial services, Analytics",https://www.naukri.com/job-listings-business-analyst-data-science-payu-india-bangalore-bengaluru-4-to-9-years-030622501055
